unique_id,time_interval,units_fulfilled,incoming_demand,variable,value,delay
22.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
22.0,6.0,56893.39828220177,56893.398282201786,1,0.0,5.0
22.0,7.0,45456.43934562706,60686.291501015236,1,0.0,6.0
22.0,8.0,17750.0,45514.71862576143,1,0.0,7.0
22.0,9.0,0.0,41721.82540694798,1,0.0,8.0
22.0,10.0,0.0,32239.592359914346,1,0.0,9.0
22.0,11.0,0.0,30343.145750507618,1,0.0,10.0
22.0,12.0,0.0,30343.145750507618,1,0.0,11.0
23.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
23.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
23.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
23.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
23.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
23.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
23.0,7.0,60623.106012293705,60686.291501015236,1,0.0,6.0
23.0,8.0,22250.0,45514.71862576143,1,0.0,7.0
23.0,9.0,0.0,41721.82540694798,1,0.0,8.0
23.0,10.0,0.0,32239.592359914346,1,0.0,9.0
23.0,11.0,0.0,30343.145750507618,1,0.0,10.0
23.0,12.0,0.0,30343.145750507618,1,0.0,11.0
24.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
24.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
24.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
24.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
24.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
24.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
24.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
24.0,8.0,42936.8145112785,45514.71862576143,1,0.0,7.0
24.0,9.0,16250.0,41721.82540694798,1,0.0,8.0
24.0,10.0,0.0,32239.592359914346,1,0.0,9.0
24.0,11.0,0.0,30343.145750507618,1,0.0,10.0
24.0,12.0,0.0,30343.145750507618,1,0.0,11.0
25.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
25.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
25.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
25.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
25.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
25.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
25.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
25.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
25.0,9.0,23908.2859570689,41721.82540694798,1,0.0,8.0
25.0,10.0,10974.8578712067,32239.592359914346,1,0.0,9.0
25.0,11.0,0.0,30343.145750507618,1,0.0,10.0
25.0,12.0,0.0,30343.145750507618,1,0.0,11.0
26.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
26.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
26.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
26.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
26.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
26.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
26.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
26.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
26.0,9.0,41721.825406948,41721.82540694798,1,0.0,8.0
26.0,10.0,14270.16228714147,32239.592359914346,1,0.0,9.0
26.0,11.0,0.0,30343.145750507618,1,0.0,10.0
26.0,12.0,0.0,30343.145750507618,1,0.0,11.0
27.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
27.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
27.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
27.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
27.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
27.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
27.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
27.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
27.0,9.0,41721.825406947966,41721.82540694798,1,0.0,8.0
27.0,10.0,32239.59235991436,32239.592359914346,1,0.0,9.0
27.0,11.0,12750.0,30343.145750507618,1,0.0,10.0
27.0,12.0,0.0,30343.145750507618,1,0.0,11.0
28.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
28.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
28.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
28.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
28.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
28.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
28.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
28.0,8.0,45514.71862576144,45514.71862576143,1,0.0,7.0
28.0,9.0,41721.82540694793,41721.82540694798,1,0.0,8.0
28.0,10.0,32239.59235991433,32239.592359914346,1,0.0,9.0
28.0,11.0,30343.14575050757,30343.145750507618,1,0.0,10.0
28.0,12.0,12750.0,30343.145750507618,1,0.0,11.0
29.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
29.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
29.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
29.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
29.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
29.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
29.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
29.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
29.0,9.0,41721.825406948,41721.82540694798,1,0.0,8.0
29.0,10.0,32239.59235991431,32239.592359914346,1,0.0,9.0
29.0,11.0,30343.14575050758,30343.145750507618,1,0.0,10.0
29.0,12.0,30343.145750507654,30343.145750507618,1,0.0,11.0
30.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
30.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
30.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
30.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
30.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
30.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
30.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
30.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
30.0,9.0,41721.825406948,41721.82540694798,1,0.0,8.0
30.0,10.0,32239.59235991432,32239.592359914346,1,0.0,9.0
30.0,11.0,30343.14575050762,30343.145750507618,1,0.0,10.0
30.0,12.0,30343.14575050757,30343.145750507618,1,0.0,11.0
31.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
31.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
31.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
31.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
31.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
31.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
31.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
31.0,8.0,45514.71862576143,45514.71862576143,1,0.0,7.0
31.0,9.0,41721.825406948,41721.82540694798,1,0.0,8.0
31.0,10.0,32239.59235991434,32239.592359914346,1,0.0,9.0
31.0,11.0,30343.14575050761,30343.145750507618,1,0.0,10.0
31.0,12.0,30343.14575050763,30343.145750507618,1,0.0,11.0
32.0,1.0,18964.466094067262,18964.466094067262,1,18964.466094067262,0.0
32.0,2.0,16035.5339059327,20860.91270347399,1,0.0,1.0
32.0,3.0,24250.0,22757.359312880715,1,0.0,2.0
32.0,4.0,37000.0,37928.932188134524,1,0.0,3.0
32.0,5.0,45983.4957055045,41721.82540694798,1,0.0,4.0
32.0,6.0,56893.3982822018,56893.398282201786,1,0.0,5.0
32.0,7.0,60686.2915010152,60686.291501015236,1,0.0,6.0
32.0,8.0,45514.71862576145,45514.71862576143,1,0.0,7.0
32.0,9.0,41721.825406948,41721.82540694798,1,0.0,8.0
32.0,10.0,32239.59235991434,32239.592359914346,1,0.0,9.0
32.0,11.0,30343.14575050761,30343.145750507618,1,0.0,10.0
32.0,12.0,30343.14575050761,30343.145750507618,1,0.0,11.0
33.0,1.0,20000.0,20918.86116991581,1,20000.0,0.0
33.0,2.0,15000.0,23010.747286907394,1,0.0,1.0
33.0,3.0,10750.0,25102.63340389897,1,0.0,2.0
33.0,4.0,13250.0,41837.72233983162,1,0.0,3.0
33.0,5.0,0.0,46021.49457381479,1,0.0,4.0
33.0,6.0,0.0,62756.58350974743,1,0.0,5.0
33.0,7.0,0.0,66940.35574373059,1,0.0,6.0
33.0,8.0,0.0,50205.26680779794,1,0.0,7.0
33.0,9.0,0.0,46021.49457381479,1,0.0,8.0
33.0,10.0,0.0,35562.06398885688,1,0.0,9.0
33.0,11.0,0.0,33470.17787186529,1,0.0,10.0
33.0,12.0,0.0,33470.17787186529,1,0.0,11.0
34.0,1.0,20000.0,20918.86116991581,1,20000.0,0.0
34.0,2.0,15000.0,23010.747286907394,1,0.0,1.0
34.0,3.0,24250.0,25102.63340389897,1,0.0,2.0
34.0,4.0,25000.0,41837.72233983162,1,0.0,3.0
34.0,5.0,13750.0,46021.49457381479,1,0.0,4.0
34.0,6.0,0.0,62756.58350974743,1,0.0,5.0
34.0,7.0,0.0,66940.35574373059,1,0.0,6.0
