,item_type,supplier,time_interval,units_to_order,expected_units_recieved
487,4,10,8,270,270
488,4,10,9,0,270
489,4,10,10,0,0
490,4,12,1,0,0
491,4,12,2,0,0
492,4,12,3,0,0
493,4,12,4,0,0
494,4,12,5,0,0
495,4,12,6,0,0
496,4,12,7,0,0
497,4,12,8,0,0
498,4,12,9,0,0
499,4,12,10,0,0
500,4,15,1,0,0
501,4,15,2,0,0
502,4,15,3,0,0
503,4,15,4,0,0
504,4,15,5,0,0
505,4,15,6,0,0
506,4,15,7,0,0
507,4,15,8,0,0
508,4,15,9,0,0
509,4,15,10,0,0
510,4,17,1,0,0
511,4,17,2,0,0
512,4,17,3,0,0
513,4,17,4,0,0
514,4,17,5,0,0
515,4,17,6,0,0
516,4,17,7,0,0
517,4,17,8,0,0
518,4,17,9,0,0
519,4,17,10,0,0
520,5,1,1,0,0
521,5,1,2,0,0
522,5,1,3,0,0
523,5,1,4,0,0
524,5,1,5,0,0
525,5,1,6,0,0
526,5,1,7,0,0
527,5,1,8,0,0
528,5,1,9,0,0
529,5,1,10,0,0
530,5,2,1,0,0
531,5,2,2,0,0
532,5,2,3,0,0
533,5,2,4,0,0
534,5,2,5,0,0
535,5,2,6,0,0
536,5,2,7,0,0
537,5,2,8,0,0
538,5,2,9,0,0
539,5,2,10,0,0
540,5,3,1,0,0
541,5,3,2,0,0
542,5,3,3,0,0
543,5,3,4,0,0
544,5,3,5,0,0
545,5,3,6,0,0
546,5,3,7,0,0
547,5,3,8,0,0
548,5,3,9,0,0
549,5,3,10,0,0
550,5,4,1,0,0
551,5,4,2,0,0
552,5,4,3,0,0
553,5,4,4,0,0
554,5,4,5,0,0
555,5,4,6,0,0
556,5,4,7,0,0
557,5,4,8,0,0
558,5,4,9,0,0
559,5,4,10,0,0
560,5,5,1,0,0
561,5,5,2,0,0
562,5,5,3,0,0
563,5,5,4,0,0
564,5,5,5,0,0
565,5,5,6,0,0
566,5,5,7,0,0
567,5,5,8,0,0
568,5,5,9,0,0
569,5,5,10,0,0
570,5,6,1,0,0
571,5,6,2,0,0
572,5,6,3,0,0
573,5,6,4,0,0
574,5,6,5,0,0
575,5,6,6,0,0
576,5,6,7,0,0
577,5,6,8,0,0
578,5,6,9,0,0
579,5,6,10,0,0
580,5,7,1,0,0
581,5,7,2,0,0
582,5,7,3,0,0
583,5,7,4,0,0
584,5,7,5,0,0
585,5,7,6,0,0
586,5,7,7,0,0
587,5,7,8,0,0
588,5,7,9,0,0
589,5,7,10,0,0
590,5,8,1,0,0
591,5,8,2,0,0
592,5,8,3,0,0
593,5,8,4,0,0
594,5,8,5,0,0
595,5,8,6,0,0
596,5,8,7,0,0
597,5,8,8,0,0
598,5,8,9,0,0
599,5,8,10,0,0
600,5,9,1,0,0
601,5,9,2,0,0
602,5,9,3,0,0
603,5,9,4,0,0
604,5,9,5,0,0
605,5,9,6,0,0
606,5,9,7,0,0
607,5,9,8,0,0
608,5,9,9,0,0
609,5,9,10,0,0
610,5,10,1,0,0
611,5,10,2,0,0
612,5,10,3,0,0
613,5,10,4,0,0
614,5,10,5,0,0
615,5,10,6,0,0
616,5,10,7,0,0
617,5,10,8,0,0
618,5,10,9,0,0
619,5,10,10,0,0
620,5,12,1,22,0
621,5,12,2,22,1
622,5,12,3,22,2
623,5,12,4,22,4
624,5,12,5,22,6
625,5,12,6,22,8
626,5,12,7,22,11
627,5,12,8,22,15
628,5,12,9,0,22
629,5,12,10,0,21
630,5,15,1,0,0
631,5,15,2,0,0
632,5,15,3,0,0
633,5,15,4,0,0
634,5,15,5,0,0
635,5,15,6,0,0
636,5,15,7,0,0
637,5,15,8,0,0
638,5,15,9,0,0
639,5,15,10,0,0
640,5,17,1,0,0
641,5,17,2,0,0
642,5,17,3,0,0
643,5,17,4,0,0
644,5,17,5,0,0
645,5,17,6,0,0
646,5,17,7,0,0
647,5,17,8,0,0
648,5,17,9,0,0
649,5,17,10,0,0
650,8,1,1,0,0
651,8,1,2,0,0
652,8,1,3,0,0
653,8,1,4,0,0
654,8,1,5,0,0
655,8,1,6,0,0
656,8,1,7,0,0
657,8,1,8,0,0
658,8,1,9,0,0
659,8,1,10,0,0
660,8,2,1,0,0
661,8,2,2,0,0
662,8,2,3,0,0
663,8,2,4,0,0
664,8,2,5,0,0
665,8,2,6,0,0
666,8,2,7,0,0
667,8,2,8,0,0
668,8,2,9,0,0
669,8,2,10,0,0
670,8,3,1,0,0
671,8,3,2,0,0
672,8,3,3,0,0
673,8,3,4,0,0
674,8,3,5,0,0
675,8,3,6,0,0
676,8,3,7,0,0
677,8,3,8,0,0
678,8,3,9,0,0
679,8,3,10,0,0
680,8,4,1,0,0
681,8,4,2,0,0
682,8,4,3,0,0
683,8,4,4,0,0
684,8,4,5,0,0
685,8,4,6,0,0
686,8,4,7,0,0
687,8,4,8,0,0
688,8,4,9,0,0
689,8,4,10,0,0
690,8,5,1,0,0
691,8,5,2,0,0
692,8,5,3,0,0
693,8,5,4,0,0
694,8,5,5,0,0
695,8,5,6,0,0
696,8,5,7,0,0
697,8,5,8,0,0
698,8,5,9,0,0
699,8,5,10,0,0
700,8,6,1,0,0
701,8,6,2,0,0
702,8,6,3,0,0
703,8,6,4,0,0
704,8,6,5,0,0
705,8,6,6,0,0
706,8,6,7,0,0
707,8,6,8,0,0
708,8,6,9,0,0
709,8,6,10,0,0
710,8,7,1,0,0
711,8,7,2,0,0
712,8,7,3,0,0
713,8,7,4,0,0
714,8,7,5,0,0
715,8,7,6,0,0
716,8,7,7,0,0
717,8,7,8,0,0
718,8,7,9,0,0
719,8,7,10,0,0
720,8,8,1,0,0
721,8,8,2,0,0
722,8,8,3,0,0
723,8,8,4,0,0
724,8,8,5,0,0
725,8,8,6,0,0
726,8,8,7,0,0
727,8,8,8,0,0
